"Package","Version"
"rpart","4.1.24"
"rprojroot","2.1.1"
"Rsamtools","2.18.0"
"RSpectra","0.16-2"
"RSQLite","2.3.1"
"rstudioapi","0.15.0"
"rsvd","1.0.5"
"rtracklayer","1.62.0"
"rversions","3.0.0"
"rvest","1.0.3"
"s2","1.1.9"
"S4Arrays","1.2.0"
"S4Vectors","0.40.2"
"S7","0.2.1"
"sass","0.4.10"
"ScaledMatrix","1.10.0"
"scales","1.4.0"
"scattermore","1.2"
"selectr","0.4-2"
"sessioninfo","1.2.3"
"sf","1.0-14"
"shape","1.4.6.1"
"shiny","1.11.1"
"snow","0.4-4"
"sourcetools","0.1.7-1"
"SparseArray","1.2.2"
"SparseM","1.84-2"
"sparsevctrs","0.3.4"
"spatial","7.3-17"
"splines","4.3.1"
"SQUAREM","2021.1"
"statmod","1.5.0"
"stats","4.3.1"
"stats4","4.3.1"
"stringi","1.8.7"
"stringr","1.6.0"
"styler","1.11.0"
"SummarizedExperiment","1.32.0"
"SuppDists","1.1-9.9"
"survcomp","1.50.0"
"survival","3.8-3"
"survivalmodels","0.1.191"
"survivalROC","1.0.3.1"
"survMisc","0.5.6"
"sva","3.50.0"
"sys","3.4.2"
"systemfonts","1.0.5"
"tcltk","4.3.1"
"testthat","3.3.1"
"textshaping","0.3.7"
"tibble","3.3.0"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.3.0"
"timeDate","4051.111"
"tinytex","0.48"
"tools","4.3.1"
"tzdb","0.5.0"
"units","0.8-7"
"urlchecker","1.0.1"
"usethis","3.2.1"
"utf8","1.2.6"
"utils","4.3.1"
"uuid","1.1-1"
"vctrs","0.6.5"
"vipor","0.4.5"
"viridisLite","0.4.2"
"vroom","1.6.4"
"waldo","0.6.2"
"whisker","0.4.1"
"withr","3.0.2"
"wk","0.9.4"
"xfun","0.54"
"XML","3.99-0.17"
"xml2","1.5.1"
"xmlparsedata","1.0.5"
"xopen","1.0.1"
"xtable","1.8-4"
"XVector","0.42.0"
"yaml","2.3.11"
"zip","2.3.3"
"zlibbioc","1.48.0"
"zoo","1.8-14"
